ELEMENT,Axis_0,Axis_1,C_PE_WE,C_PE_WE_P,C_PHYLO_RPE2,C_PHYLO_RPE_DIFF2,C_PHYLO_RPE_NULL2,P_PE_WE,P_PE_WE_P,P_PHYLO_RPE2,P_PHYLO_RPE_DIFF2,P_PHYLO_RPE_NULL2,Q_PE_WE,Q_PE_WE_P,Q_PHYLO_RPE2,Q_PHYLO_RPE_DIFF2,Q_PHYLO_RPE_NULL2
-1025000:-1825000,-1025000,-1825000,75,75,127,306,241,0.0750750750750751,0.0750750750750751,0.127127127127127,0.306306306306306,0.241241241241241,999,999,999,999,999
-1025000:-1875000,-1025000,-1875000,189,189,313,373,208,0.189189189189189,0.189189189189189,0.313313313313313,0.373373373373373,0.208208208208208,999,999,999,999,999
-1025000:-1925000,-1025000,-1925000,619,619,832,794,250,0.61961961961962,0.61961961961962,0.832832832832833,0.794794794794795,0.25025025025025,999,999,999,999,999
-1025000:-1975000,-1025000,-1975000,795,795,866,860,500,0.795795795795796,0.795795795795796,0.866866866866867,0.860860860860861,0.500500500500501,999,999,999,999,999
-1025000:-2025000,-1025000,-2025000,273,273,570,591,117,0.273273273273273,0.273273273273273,0.570570570570571,0.591591591591592,0.117117117117117,999,999,999,999,999
-1025000:-2075000,-1025000,-2075000,430,430,70,92,836,0.43043043043043,0.43043043043043,0.0700700700700701,0.0920920920920921,0.836836836836837,999,999,999,999,999
-1025000:-2125000,-1025000,-2125000,407,407,508,516,346,0.407407407407407,0.407407407407407,0.508508508508508,0.516516516516517,0.346346346346346,999,999,999,999,999
-1025000:-2225000,-1025000,-2225000,799,799,853,848,563,0.7997997997998,0.7997997997998,0.853853853853854,0.848848848848849,0.563563563563564,999,999,999,999,999
-1025000:-2275000,-1025000,-2275000,733,733,662,593,632,0.733733733733734,0.733733733733734,0.662662662662663,0.593593593593594,0.632632632632633,999,999,999,999,999
-1025000:-2375000,-1025000,-2375000,446,446,396,380,520,0.446446446446446,0.446446446446446,0.396396396396396,0.38038038038038,0.520520520520521,999,999,999,999,999
-1025000:-2425000,-1025000,-2425000,564,564,688,685,397,0.564564564564565,0.564564564564565,0.688688688688689,0.685685685685686,0.397397397397397,999,999,999,999,999
-1025000:-2475000,-1025000,-2475000,336,336,795,751,18,0.336336336336336,0.336336336336336,0.795795795795796,0.751751751751752,0.018018018018018,999,999,999,999,999
-1025000:-2525000,-1025000,-2525000,581,581,758,752,336,0.581581581581582,0.581581581581582,0.758758758758759,0.752752752752753,0.336336336336336,999,999,999,999,999
-1025000:-2575000,-1025000,-2575000,712,712,892,836,264,0.712712712712713,0.712712712712713,0.892892892892893,0.836836836836837,0.264264264264264,999,999,999,999,999
-1025000:-2675000,-1025000,-2675000,574,574,849,803,107,0.574574574574575,0.574574574574575,0.84984984984985,0.803803803803804,0.107107107107107,999,999,999,999,999
-1025000:-2775000,-1025000,-2775000,528,528,739,735,246,0.528528528528528,0.528528528528528,0.73973973973974,0.735735735735736,0.246246246246246,999,999,999,999,999
-1025000:-2825000,-1025000,-2825000,372,372,429,431,396,0.372372372372372,0.372372372372372,0.429429429429429,0.431431431431431,0.396396396396396,999,999,999,999,999
-1025000:-2875000,-1025000,-2875000,88,88,298,411,76,0.0880880880880881,0.0880880880880881,0.298298298298298,0.411411411411411,0.0760760760760761,999,999,999,999,999
-1025000:-2925000,-1025000,-2925000,55,55,300,436,37,0.0550550550550551,0.0550550550550551,0.3003003003003,0.436436436436436,0.037037037037037,999,999,999,999,999
-1025000:-3025000,-1025000,-3025000,664,664,622,585,522,0.664664664664665,0.664664664664665,0.622622622622623,0.585585585585586,0.522522522522523,999,999,999,999,999
-1025000:-3075000,-1025000,-3075000,114,114,500,588,17,0.114114114114114,0.114114114114114,0.500500500500501,0.588588588588589,0.017017017017017,999,999,999,999,999
-1025000:-3125000,-1025000,-3125000,175,175,268,363,257,0.175175175175175,0.175175175175175,0.268268268268268,0.363363363363363,0.257257257257257,999,999,999,999,999
