ELEMENT,Axis_0,Axis_1,PE_WE,PE_WE_P,PHYLO_RPE2,PHYLO_RPE_DIFF2,PHYLO_RPE_NULL2
-1025000:-1825000,-1025000,-1825000,,,,,
-1025000:-1875000,-1025000,-1875000,,,,,
-1025000:-1925000,-1025000,-1925000,,,,,
-1025000:-1975000,-1025000,-1975000,,,,,
-1025000:-2025000,-1025000,-2025000,,,,,
-1025000:-2075000,-1025000,-2075000,,,,,
-1025000:-2125000,-1025000,-2125000,,,,,
-1025000:-2225000,-1025000,-2225000,,,,,
-1025000:-2275000,-1025000,-2275000,,,,,
-1025000:-2375000,-1025000,-2375000,,,,,
-1025000:-2425000,-1025000,-2425000,,,,,
-1025000:-2475000,-1025000,-2475000,,,,,0.018018018018018
-1025000:-2525000,-1025000,-2525000,,,,,
-1025000:-2575000,-1025000,-2575000,,,,,
-1025000:-2675000,-1025000,-2675000,,,,,
-1025000:-2775000,-1025000,-2775000,,,,,
-1025000:-2825000,-1025000,-2825000,,,,,
-1025000:-2875000,-1025000,-2875000,,,,,
-1025000:-2925000,-1025000,-2925000,,,,,0.037037037037037
-1025000:-3025000,-1025000,-3025000,,,,,
-1025000:-3075000,-1025000,-3075000,,,,,0.017017017017017
-1025000:-3125000,-1025000,-3125000,,,,,
-1025000:-3175000,-1025000,-3175000,0.004004004004004,0.004004004004004,,,0.001001001001001
-1025000:-3225000,-1025000,-3225000,,,,,
-1025000:-3275000,-1025000,-3275000,,,,,
-1025000:-3325000,-1025000,-3325000,,,,,
-1025000:-3375000,-1025000,-3375000,,,,,
-1025000:-3425000,-1025000,-3425000,,,,,
-1025000:-3475000,-1025000,-3475000,,,,,
-1025000:-3525000,-1025000,-3525000,,,,,
-1025000:-3575000,-1025000,-3575000,0.976976976976977,0.976976976976977,,0.971971971971972,
-1025000:-3625000,-1025000,-3625000,,,,,0.991991991991992
-1025000:-3675000,-1025000,-3675000,,,,0.011011011011011,0.988988988988989
-1025000:-3725000,-1025000,-3725000,0.97997997997998,0.97997997997998,,,0.98998998998999
-1075000:-2025000,-1075000,-2025000,,,,,
-1075000:-2075000,-1075000,-2075000,,,,,
-1075000:-2125000,-1075000,-2125000,,,,,
-1075000:-2175000,-1075000,-2175000,0.970970970970971,0.970970970970971,,0.00900900900900901,0.993993993993994
-1075000:-2325000,-1075000,-2325000,,,,,
-1075000:-2375000,-1075000,-2375000,0.971971971971972,0.971971971971972,,0.964964964964965,
-1075000:-2425000,-1075000,-2425000,,,,,
-1075000:-2475000,-1075000,-2475000,,,,,
-1075000:-2525000,-1075000,-2525000,,,,,
-1075000:-2625000,-1075000,-2625000,,,,,0.043043043043043
-1075000:-2675000,-1075000,-2675000,,,,,
-1075000:-2775000,-1075000,-2775000,,,,,
-1075000:-2825000,-1075000,-2825000,,,,0.019019019019019,0.964964964964965
-1075000:-2875000,-1075000,-2875000,,,,,
-1075000:-2925000,-1075000,-2925000,,,,,
-1075000:-2975000,-1075000,-2975000,,,,,
-1075000:-3025000,-1075000,-3025000,,,,,
-1075000:-3075000,-1075000,-3075000,,,,,
-1075000:-3125000,-1075000,-3125000,0.005005005005005,0.005005005005005,,,0.00900900900900901
-1075000:-3175000,-1075000,-3175000,0.011011011011011,0.011011011011011,,,0.043043043043043
-1075000:-3225000,-1075000,-3225000,,,,,
-1075000:-3275000,-1075000,-3275000,0.032032032032032,0.032032032032032,,,
-1075000:-3325000,-1075000,-3325000,,,,,
-1075000:-3375000,-1075000,-3375000,,,,,
-1075000:-3425000,-1075000,-3425000,,,,,
-1075000:-3475000,-1075000,-3475000,,,,,
-1075000:-3525000,-1075000,-3525000,,,,,
-1075000:-3575000,-1075000,-3575000,,,,,
-1075000:-3625000,-1075000,-3625000,0.95995995995996,0.95995995995996,,,0.957957957957958
-1075000:-3675000,-1075000,-3675000,0.987987987987988,0.987987987987988,,0.977977977977978,0.986986986986987
-1075000:-3725000,-1075000,-3725000,0.996996996996997,0.996996996996997,,0.983983983983984,1
-1075000:-3775000,-1075000,-3775000,1,1,0.952952952952953,0.997997997997998,0.998998998998999
-1125000:-2075000,-1125000,-2075000,,,,,
-1125000:-2125000,-1125000,-2125000,,,,,
-1125000:-2175000,-1125000,-2175000,,,,,
-1125000:-2225000,-1125000,-2225000,,,,,
-1125000:-2275000,-1125000,-2275000,,,,,
-1125000:-2325000,-1125000,-2325000,,,,,
-1125000:-2375000,-1125000,-2375000,0.986986986986987,0.986986986986987,,0.97997997997998,0.968968968968969
-1125000:-2425000,-1125000,-2425000,,,,,
-1125000:-2475000,-1125000,-2475000,,,,,
-1125000:-2525000,-1125000,-2525000,,,,,
-1125000:-2575000,-1125000,-2575000,,,,,
-1125000:-2625000,-1125000,-2625000,,,,,
-1125000:-2675000,-1125000,-2675000,,,,,
-1125000:-2725000,-1125000,-2725000,,,,,
-1125000:-2775000,-1125000,-2775000,,,,,
-1125000:-2825000,-1125000,-2825000,0.032032032032032,0.032032032032032,,,
-1125000:-2925000,-1125000,-2925000,,,,,
-1125000:-2975000,-1125000,-2975000,,,,,0.043043043043043
-1125000:-3025000,-1125000,-3025000,,,,,
-1125000:-3075000,-1125000,-3075000,,,,,
-1125000:-3125000,-1125000,-3125000,,,,,
-1125000:-3175000,-1125000,-3175000,,,,,
-1125000:-3225000,-1125000,-3225000,,,,,
-1125000:-3275000,-1125000,-3275000,,,,,0.031031031031031
-1125000:-3325000,-1125000,-3325000,,,,,
-1125000:-3375000,-1125000,-3375000,,,,,
-1125000:-3425000,-1125000,-3425000,,,,,
-1125000:-3475000,-1125000,-3475000,,,,,
